,category,title,writer,date,hit,url
0,산업분석,인공지능 시대 새로운 성장 동력 HBM(고대역폭메모리),심경석,2023-07-24,448,/kbresearch/vitamin/reportView.do?vitaminId=2000401
1,디지털,인공지능은 인간지능을 초월할 수 있을까,김진성,2023-06-20,948,/kbresearch/vitamin/reportView.do?vitaminId=2000400
2,산업분석,"발전기 없는 발전소, 가상발전소(VPP)",이창우,2023-04-14,1909,/kbresearch/vitamin/reportView.do?vitaminId=2000381
3,디지털,해외 대형은행의 온라인 대출중개 플랫폼 활용과 대응 사례,김준산,2022-10-07,6210,/kbresearch/vitamin/reportView.do?vitaminId=2000360
4,디지털,트래블룰 적용 의의와 국내 가상자산 업계 동향,박교순,2022-05-30,5031,/kbresearch/vitamin/reportView.do?vitaminId=2000355
5,경영환경,"여성의 건강과 삶의 질을 높이는 기술, 펨테크",김도연,2022-05-25,6007,/kbresearch/vitamin/reportView.do?vitaminId=2000353
6,기타,"벌집군집붕괴현상(CCD), 꿀벌의 경고에 응답하라",이창우 ,2022-05-22,4499,/kbresearch/vitamin/reportView.do?vitaminId=2000352
7,자산관리,화상통화를 활용한 비대면 보험 모집 해외 사례와 시사점,이명창,2022-03-15,3704,/kbresearch/vitamin/reportView.do?vitaminId=2000347
8,부동산,주택 임대차 계약 후 필수 코스 전월세신고제,손은경,2022-02-21,4023,/kbresearch/vitamin/reportView.do?vitaminId=2000343
18,디지털,소상공인의 코로나19 위기 극복을 위한 디지털 전환,박정미,2022-02-08,6180,/kbresearch/vitamin/reportView.do?vitaminId=2000342
19,경영환경,"금융, 범죄로부터 국민을 보호하라",이창우,2022-01-10,4572,/kbresearch/vitamin/reportView.do?vitaminId=2000339
20,경영환경,"성과를 만드는 팀의 비밀, 심리적 안전감",이동훈,2022-01-03,6438,/kbresearch/vitamin/reportView.do?vitaminId=2000338
21,자산관리,아트테크(Art+재테크) 활성화에 따른 예술품보험의 필요성 증대,박준모,2021-12-27,3381,/kbresearch/vitamin/reportView.do?vitaminId=2000337
22,부동산,주택인 듯 주택 아닌 주택 같은 오피스텔,정종훈,2021-11-15,4635,/kbresearch/vitamin/reportView.do?vitaminId=2000334
23,산업분석,"해상풍력, 풍력발전의 새로운 도전",장경석,2021-11-01,3723,/kbresearch/vitamin/reportView.do?vitaminId=2000333
24,마케팅,"일 잘하는 소비자, 팬슈머에 응답하라",손광표,2021-10-26,5808,/kbresearch/vitamin/reportView.do?vitaminId=2000332
25,산업분석,스코프3(Scope3)로 넓혀져 가는 탄소 발자국 지우기 ,채희근,2021-10-26,4383,/kbresearch/vitamin/reportView.do?vitaminId=2000331
26,경영환경,로봇을 활용한 슬기로운 코로나19 극복,김준산,2021-10-20,2942,/kbresearch/vitamin/reportView.do?vitaminId=2000330
27,해외경제,중국 그린본드 시장 현황과 향후 전망,이정진,2021-10-18,1702,/kbresearch/vitamin/reportView.do?vitaminId=2000329
28,산업분석,테슬라도 눈 돌린 우주산업 - 민간 주도 뉴 스페이스,심경석,2021-09-01,4121,/kbresearch/vitamin/reportView.do?vitaminId=2000328
29,기타,북한의 순환경제정책과 재자원화,손광수,2021-08-24,2510,/kbresearch/vitamin/reportView.do?vitaminId=2000327
30,산업분석,"위기를 기회로, 유통업의 디지털 트랜스포메이션",오상엽,2021-08-23,4989,/kbresearch/vitamin/reportView.do?vitaminId=2000313
31,해외경제,100년 기업 육성을 위한 일본 정부와 은행들의 노력,한보화,2021-08-16,2959,/kbresearch/vitamin/reportView.do?vitaminId=2000326
32,거시/경제,코로나19 이후 주요국 고용과 경기회복 경로,이승훈,2021-08-09,3778,/kbresearch/vitamin/reportView.do?vitaminId=2000325
33,기타,자가면역질환의 이해와 관리 방안,김도연,2021-08-09,1983,/kbresearch/vitamin/reportView.do?vitaminId=2000324
34,기타,"로또의 세계, 800만분의 1의 확률을 뚫어라",김진성,2021-08-04,2873,/kbresearch/vitamin/reportView.do?vitaminId=2000323
35,부동산,집값이 오르면 소비도 늘어날까?,김태환,2021-08-04,3281,/kbresearch/vitamin/reportView.do?vitaminId=2000322
36,부동산,2021년 미국의 새로운 부동산 트렌드,손은경,2021-06-28,4981,/kbresearch/vitamin/reportView.do?vitaminId=2000312
37,경영환경,"라이브 커머스, 중국 보험업계 새로운 판매 채널로 부상",이명창,2021-06-21,3357,/kbresearch/vitamin/reportView.do?vitaminId=2000309
38,마케팅,할매니얼들 윤며들다! : MZ세대를 감동시키는 디지털 어른들,박정미 ,2021-06-14,5596,/kbresearch/vitamin/reportView.do?vitaminId=2000308
39,디지털,지금은 메타버스에 올라탈 시간,이동훈,2021-06-07,12526,/kbresearch/vitamin/reportView.do?vitaminId=2000306
40,경영환경,‘플랫폼 경제’를 넘어 ‘프로토콜 경제’로,이창우,2021-05-31,7848,/kbresearch/vitamin/reportView.do?vitaminId=2000307
41,자본시장,팬데믹 이후 사이버 위험과 국내 사이버 보험상품의 이해,박준모,2021-05-24,2572,/kbresearch/vitamin/reportView.do?vitaminId=2000301
42,부동산,"포스트 코로나 시대, 공유 오피스의 현재와 미래",김지연,2021-05-17,6369,/kbresearch/vitamin/reportView.do?vitaminId=2000300
43,거시/경제,"구매관리자지수의 이해와 활용 - 미국, 유럽, 중국의 예를 중심으로",최진호,2021-05-10,2496,/kbresearch/vitamin/reportView.do?vitaminId=2000299
44,산업분석,"스타링크, 일론 머스크가 꿈꾸는 초고속 인터넷 세상",장경석,2021-05-03,2667,/kbresearch/vitamin/reportView.do?vitaminId=2000297
45,부동산,"신축 + 브랜드, 아파트의 가치를 바꾸다!",정종훈,2021-05-03,2435,/kbresearch/vitamin/reportView.do?vitaminId=2000298
46,디지털,"클럽하우스, 음성 기반 소셜미디어 시대를 열다",손광표,2021-04-27,2470,/kbresearch/vitamin/reportView.do?vitaminId=2000293
47,해외경제,"중국, 한국과의 FTA를 통해 내다본 캄보디아의 앞날",김가현,2021-04-27,1743,/kbresearch/vitamin/reportView.do?vitaminId=2000292
48,경영환경,"빅테크, 기업인가 권력인가",김준산,2021-04-27,3866,/kbresearch/vitamin/reportView.do?vitaminId=2000290
49,산업분석,제조업을 흔들 탈탄소 패러다임 RE100과 탄소국경세,채희근,2021-04-27,4615,/kbresearch/vitamin/reportView.do?vitaminId=2000289
50,경영환경,선택이 아닌 필수가 되어버린 디지털 트랜스포메이션,박교순,2021-04-12,7349,/kbresearch/vitamin/reportView.do?vitaminId=2000288
51,해외경제,중국 금융업의 AI 응용과 향후 전망,이정진,2021-04-05,2576,/kbresearch/vitamin/reportView.do?vitaminId=2000287
52,산업분석,차세대 모빌리티 시대에 주목받는 차량용 반도체,심경석,2021-04-05,1981,/kbresearch/vitamin/reportView.do?vitaminId=2000286
53,산업분석,변화하는 시대에 대응하는 유통업의 미래,오상엽,2021-04-01,5787,/kbresearch/vitamin/reportView.do?vitaminId=2000283
54,해외경제,개인 투자자의 성장과 일본의 장기 분산투자 강조,한보화,2021-03-29,1972,/kbresearch/vitamin/reportView.do?vitaminId=2000282
55,산업분석,"반려식물, 코로나19 이후 새로운 트렌드로 주목",김동우,2021-03-22,10878,/kbresearch/vitamin/reportView.do?vitaminId=2000281
56,거시/경제,코로나19 이후 한국경제의 양극화 심화와 과제,이승훈,2021-03-22,8911,/kbresearch/vitamin/reportView.do?vitaminId=2000280
57,기타,통일교육에 놀이를 더하다 : 에듀툴킷,손광수,2021-03-15,1969,/kbresearch/vitamin/reportView.do?vitaminId=2000227
58,경영환경,소멸하는 대한민국: 한국의 출산율 감소,김진성,2021-03-15,3655,/kbresearch/vitamin/reportView.do?vitaminId=2000260
59,자산관리,반복되는 전염병 위험과 보험업의 역할,김도연,2021-03-15,2253,/kbresearch/vitamin/reportView.do?vitaminId=2000259
60,자산관리,MZ세대 겨냥하는 ‘미니보험’,최윤경,2021-03-08,5879,/kbresearch/vitamin/reportView.do?vitaminId=2000225
61,부동산,"건물주가 된다는 것, 서울 꼬마빌딩 시장",김태환,2021-03-02,6636,/kbresearch/vitamin/reportView.do?vitaminId=2000252
62,자산관리,"블록체인 시장의 다음 메가트렌드, NFT",김회민,2021-03-02,14729,/kbresearch/vitamin/reportView.do?vitaminId=2000224
72,경영환경,공정함에 집착하고 또 집착하라,권세환,2021-02-22,3267,/kbresearch/vitamin/reportView.do?vitaminId=2000251
73,부동산,"로또 청약의 대안, 토지임대부 주택과 환매조건부 주택",손은경,2021-02-22,2075,/kbresearch/vitamin/reportView.do?vitaminId=2000250
74,해외경제,중국 온라인 보험시장의 성장과 생태계 변화,이명창,2021-02-15,3052,/kbresearch/vitamin/reportView.do?vitaminId=2000249
75,경영환경,구르미 그린 미래 : 클라우드 컴퓨팅의 개념과 비즈니스 사례 ,박정미,2021-02-15,3265,/kbresearch/vitamin/reportView.do?vitaminId=2000248
76,부동산,코로나19로 인한 홈오피스 시장의 변화,김지연,2021-02-08,3559,/kbresearch/vitamin/reportView.do?vitaminId=2000247
77,경영환경,금융소비자보호에 관한 법률 제정과 금융권 과제,이지윤,2021-01-27,3411,/kbresearch/vitamin/reportView.do?vitaminId=2000245
78,경영환경,코로나19 이후 업무연속성계획(BCP)의 변화 방향,정인,2021-01-27,2767,/kbresearch/vitamin/reportView.do?vitaminId=2000244
79,부동산,"3기 신도시 지정 후 약 2년, 어떻게 진행되고 있을까?",정종훈,2021-01-20,3117,/kbresearch/vitamin/reportView.do?vitaminId=2000223
80,자산관리,모르면 손해보는 자동차 보험이야기,이경식,2021-01-20,2897,/kbresearch/vitamin/reportView.do?vitaminId=2000243
81,해외경제,변화의 시기를 맞은 인도네시아 경제의 강점과 약점,김가현,2021-01-13,2198,/kbresearch/vitamin/reportView.do?vitaminId=2000242
82,경영환경,디지털 기술에 의한 민주주의 저해와 해결 방안,김준산,2021-01-13,2309,/kbresearch/vitamin/reportView.do?vitaminId=2000241
83,마케팅,"펫테크, 기술로 반려동물을 널리 이롭게 하다",손광표,2021-01-06,5669,/kbresearch/vitamin/reportView.do?vitaminId=2000240
84,산업분석,"닮은 듯 닮지 않은 삼성, SK, LG그룹의 자동차 사업 전략",채희근,2021-01-06,2717,/kbresearch/vitamin/reportView.do?vitaminId=2000199
85,경영환경,"주요국의 그린 뉴딜 정책, 포스트 코로나 시대 새로운 성장 동력",장경석,2020-12-31,3189,/kbresearch/vitamin/reportView.do?vitaminId=2000222
86,부동산,"언택트 시대, 관광 산업의 디지털 혁신",류석재,2020-12-31,3532,/kbresearch/vitamin/reportView.do?vitaminId=2000221
87,거시/경제,스마일 커브를 통해 바라보는 달러의 향방,최진호,2020-12-28,1662,/kbresearch/vitamin/reportView.do?vitaminId=2000246
88,디지털,"개인정보의 주권회복을 위한 솔루션, 탈중앙화 신원증명(DID)",박교순,2020-12-22,3305,/kbresearch/vitamin/reportView.do?vitaminId=2000198
89,경영환경,"끊임없이 학습하는 문화, SK가 그리는 HR 전략",최지현,2020-12-22,3868,/kbresearch/vitamin/reportView.do?vitaminId=2000197
90,해외경제,중국 14차 5개년 계획(2021~2025) 평가 및 전망,이정진,2020-12-17,2894,/kbresearch/vitamin/reportView.do?vitaminId=2000220
91,산업분석,6G – 초연결 시대를 여는 차세대 이동통신,심경석,2020-12-16,3612,/kbresearch/vitamin/reportView.do?vitaminId=2000219
92,산업분석,코로나19와 자영업 명암,김동우,2020-12-04,4197,/kbresearch/vitamin/reportView.do?vitaminId=2000218
93,자본시장,위기의 국민연금,김진성,2020-12-04,9919,/kbresearch/vitamin/reportView.do?vitaminId=2000217
94,해외경제,일본 가계의 자산운용 구조와 금융권의 대응 노력,한보화,2020-11-27,1930,/kbresearch/vitamin/reportView.do?vitaminId=2000216
95,자산관리,변액보험의 이해와 가입시 고려사항,김도연,2020-11-18,2254,/kbresearch/vitamin/reportView.do?vitaminId=2000215
96,거시/경제,중장기 금리 전망과 결정요인 점검,이승훈,2020-11-11,4021,/kbresearch/vitamin/reportView.do?vitaminId=2000211
97,기타,북한의 기업형태와 운영방식,손광수,2020-11-11,2150,/kbresearch/vitamin/reportView.do?vitaminId=2000210
98,자산관리,내가 내는 보험료 이해하기,박완수,2020-11-05,2542,/kbresearch/vitamin/reportView.do?vitaminId=2000196
99,마케팅,"UI/UX, 경험을 디자인하다 ",권세환,2020-11-04,7182,/kbresearch/vitamin/reportView.do?vitaminId=2000195
100,경영환경,모두를 위한 자유로운 금융서비스 디파이(Defi),김회민,2020-10-21,6446,/kbresearch/vitamin/reportView.do?vitaminId=2000209
101,부동산,"논란의 중심에 있는 도심속 허파, 그린벨트  ",손은경,2020-10-14,2857,/kbresearch/vitamin/reportView.do?vitaminId=2000208
102,마케팅,제국의 역습: 전통기업들의 디지털 혁신 사례,박정미,2020-10-07,6788,/kbresearch/vitamin/reportView.do?vitaminId=2000204
103,부동산,  부동산 펀드의 이해와 투자 시 고려사항,김지연,2020-09-23,3951,/kbresearch/vitamin/reportView.do?vitaminId=2000203
104,거시/경제,적정 외환보유액에 대한 이해,최진호,2020-09-23,3209,/kbresearch/vitamin/reportView.do?vitaminId=2000194
105,경영환경,"4차 산업혁명 시대, 기업의 직원 리스킬링과 업스킬링 전략",이지윤,2020-09-16,6536,/kbresearch/vitamin/reportView.do?vitaminId=2000193
106,경영환경,개인정보 기반 수익화와 감시 자본주의,김준산,2020-09-08,3586,/kbresearch/vitamin/reportView.do?vitaminId=2000178
107,경영환경,캠핑과 보험 가입 Tip,이경식,2020-09-02,2269,/kbresearch/vitamin/reportView.do?vitaminId=2000189
108,부동산,부린이(부동산+어린이)를 위한 필수 부동산 세금,정종훈,2020-09-02,4941,/kbresearch/vitamin/reportView.do?vitaminId=2000190
109,해외경제,"트럼프 vs. 바이든, 미 대선 주요 쟁점과 영향",김가현,2020-08-26,3795,/kbresearch/vitamin/reportView.do?vitaminId=2000188
110,경영환경,트렌드를 뒤집는 역트렌드(Counter-trend),손광표,2020-08-26,5893,/kbresearch/vitamin/reportView.do?vitaminId=2000187
111,산업분석,자율주행차보다 먼저 시작될 에어택시 (Air taxi),채희근,2020-08-19,3445,/kbresearch/vitamin/reportView.do?vitaminId=2000176
112,산업분석,코로나19가 앞당긴 스마트 물류 시대 ,장경석,2020-08-19,7980,/kbresearch/vitamin/reportView.do?vitaminId=2000186
113,부동산,"1코노미 시대 주거공간, 셰어하우스",류석재,2020-08-12,4907,/kbresearch/vitamin/reportView.do?vitaminId=2000175
114,경영환경,짧고 강렬하게!! 숏폼 콘텐츠에 열광하는 Z세대,박교순,2020-08-11,7468,/kbresearch/vitamin/reportView.do?vitaminId=2000174
115,해외경제,중국인민은행 디지털화폐와 위안화 국제화,이정진,2020-07-28,3523,/kbresearch/vitamin/reportView.do?vitaminId=2000181
116,거시/경제,국가부채 통계의 이해: 우리나라 국가부채 수준은 적정한가?,이승훈,2020-07-28,5715,/kbresearch/vitamin/reportView.do?vitaminId=2000180
126,산업분석,디지털 시대의 최첨단 명탐정 – 디지털 포렌식,심경석,2020-07-22,3371,/kbresearch/vitamin/reportView.do?vitaminId=2000139
127,산업분석,목욕탕에서 선글라스를 판매하는 젠틀몬스터,오상엽,2020-07-22,3322,/kbresearch/vitamin/reportView.do?vitaminId=2000170
128,해외경제,포인트를 활용한 일본의 소액 투자 시장,한보화,2020-07-15,2694,/kbresearch/vitamin/reportView.do?vitaminId=2000167
129,경영환경,"Forecasting에서 Nowcasting으로, Big Data를 이용한 실시간 경제예측",김동우,2020-07-15,3530,/kbresearch/vitamin/reportView.do?vitaminId=2000166
130,경영환경,AR(증강현실) 동향 및 보험업의 활용사례,김도연,2020-07-10,3693,/kbresearch/vitamin/reportView.do?vitaminId=2000138
131,자산관리,코로나19 시대 개미들의 주식투자,김진성,2020-07-10,3515,/kbresearch/vitamin/reportView.do?vitaminId=2000137
132,기타,탈북민 창업과 임팩트 기부(Impact Donation),손광수,2020-07-01,2132,/kbresearch/vitamin/reportView.do?vitaminId=2000165
133,자산관리,어려운 보험 관련 의학용어 쉽게 이해하기(3대 질병),박완수,2020-07-01,2236,/kbresearch/vitamin/reportView.do?vitaminId=2000136
134,경영환경,언택트(Untact)를 커넥트(Connect)하다,권세환,2020-06-24,8242,/kbresearch/vitamin/reportView.do?vitaminId=2000135
135,경영환경,글로벌 단일 디지털 통화를 꿈꾸는 페이스북 리브라의 전략 변화,김회민,2020-06-24,3926,/kbresearch/vitamin/reportView.do?vitaminId=2000134
136,경영환경,"포스트 코로나 시대, 자영업 시장의 변화",김태환,2020-06-18,5968,/kbresearch/vitamin/reportView.do?vitaminId=2000163
137,부동산,주요지역 전세시장 불안 점검,손은경,2020-06-18,2833,/kbresearch/vitamin/reportView.do?vitaminId=2000162
138,경영환경,새로운 10대의 금융 이해력 향상을 위한 국내외 디지털 금융 서비스,박정미,2020-06-10,4554,/kbresearch/vitamin/reportView.do?vitaminId=2000133
139,거시/경제,OECD경기순행지수를 활용해 경기순환(business cycle) 읽어보기 ,최진호,2020-06-10,4381,/kbresearch/vitamin/reportView.do?vitaminId=2000132
140,부동산,"공무원도 헷갈리는 복잡한 주택 유형, ‘공공임대주택’",정종훈,2020-06-03,3473,/kbresearch/vitamin/reportView.do?vitaminId=2000161
141,경영환경,"열린 사회의 적, 인포데믹(infodemic)",정인,2020-06-03,5485,/kbresearch/vitamin/reportView.do?vitaminId=2000160
142,경영환경,관상(觀相)보는 보험사들,이경식 ,2020-05-27,2531,/kbresearch/vitamin/reportView.do?vitaminId=2000159
143,부동산,내 땅 바로알기 – 용도 지역•지구•구역 제도,류석재,2020-05-27,3698,/kbresearch/vitamin/reportView.do?vitaminId=2000130
144,경영환경,반응형 음성 광고 : AI스피커를 활용한 마케팅의 서막,김준산,2020-05-20,3318,/kbresearch/vitamin/reportView.do?vitaminId=2000129
145,산업분석,현대차그룹은 과거 위기마다 어떻게 성장했을까?,채희근,2020-05-20,3661,/kbresearch/vitamin/reportView.do?vitaminId=2000158
146,산업분석,"보잉(Boeing), 코로나19로 풍전등화의 위기에 처하다",장경석,2020-05-13,2157,/kbresearch/vitamin/reportView.do?vitaminId=2000155
147,해외경제,코로나19 이후 베트남 경제의 부상은 지속될 것인가?,김가현,2020-05-13,2676,/kbresearch/vitamin/reportView.do?vitaminId=2000154
148,경영환경,"‘스토브리그’ 속 데이터 야구, 세이버메트릭스",손광표 ,2020-05-06,3425,/kbresearch/vitamin/reportView.do?vitaminId=2000153
149,산업분석,"버려진 에너지가 만드는 전력, 에너지 하베스팅",심경석,2020-04-29,3160,/kbresearch/vitamin/reportView.do?vitaminId=2000156
150,경영환경,LG생활건강의 지속가능한 성장동력 : Growing-up 리더십과 기업문화,최지현,2020-04-29,2542,/kbresearch/vitamin/reportView.do?vitaminId=2000152
151,해외경제,코로나19로 인한 중국인들의 일상과 비즈니스 환경 변화 ,이정진,2020-04-22,2571,/kbresearch/vitamin/reportView.do?vitaminId=2000128
152,경영환경,비디오시대에 다시 급부상하고 있는 오디오 서비스,박교순,2020-04-22,2717,/kbresearch/vitamin/reportView.do?vitaminId=2000147
153,산업분석,"PC방의 무한변신 , 카페인가 음식점인가 ",오상엽,2020-04-14,2880,/kbresearch/vitamin/reportView.do?vitaminId=2000145
154,부동산,내집마련의 첫걸음 주택청약 ,손은경,2020-04-13,3541,/kbresearch/vitamin/reportView.do?vitaminId=2000120
155,해외경제,일본의 공적연금과 노후준비 ,한보화,2020-04-08,3282,/kbresearch/vitamin/reportView.do?vitaminId=2000101
156,경영환경,"지속가능연계대출, 착한 기업에 착한 대출 ",김동우,2020-04-08,3779,/kbresearch/vitamin/reportView.do?vitaminId=2000100
157,경영환경,"멘탈 헬스케어, 어디까지 왔는가 ",김도연,2020-04-01,4147,/kbresearch/vitamin/reportView.do?vitaminId=2000092
158,자산관리,연령대별로 어떤 금융상품을 보유하고 있는가,김진성,2020-04-01,12726,/kbresearch/vitamin/reportView.do?vitaminId=2000079
159,자산관리,생활 속의 배상책임,박완수,2020-03-04,1812,/kbresearch/vitamin/reportView.do?vitaminId=2000071
160,산업분석,AR(증강현실) 시장의 성장과 금융권 활용 가능성,김회민,2020-03-02,3450,/kbresearch/vitamin/reportView.do?vitaminId=2000070
161,경영환경,"초(超)개인화, 0.1명 단위로 세그멘테이션 하다",권세환,2020-02-26,6588,/kbresearch/vitamin/reportView.do?vitaminId=2000059
162,기타,드라마 '사랑의 불시착'에서 본 북한경제 생활상,손광수,2020-02-24,3039,/kbresearch/vitamin/reportView.do?vitaminId=2000018
163,부동산,종합부동산세제의 변화와 향후 전망,김태환,2020-02-19,2414,/kbresearch/vitamin/reportView.do?vitaminId=2000069
164,거시/경제,글로벌 저축의 역설과 금융시장,최진호,2020-02-10,3618,/kbresearch/vitamin/reportView.do?vitaminId=2000017
165,부동산,"10대부터 90대까지가 수험생?!, '부동산 관련 자격증'",정종훈,2020-02-05,2039,/kbresearch/vitamin/reportView.do?vitaminId=2000058
166,자산관리,어린이보험의 이해와 가입 Tip,이경식,2020-01-29,1632,/kbresearch/vitamin/reportView.do?vitaminId=2000060
167,부동산,"4차 산업혁명의 인프라, 공간정보산업의 미래",류석재,2020-01-22,2643,/kbresearch/vitamin/reportView.do?vitaminId=2000057
168,산업분석,윤곽이 드러난 현대차그룹의 차세대 모빌리티 전략,채희근,2020-01-08,2479,/kbresearch/vitamin/reportView.do?vitaminId=2000068
169,경영환경,착한 스타트업 `소셜벤처` 생태계와 지원 현황,강서진,2020-01-02,4548,/kbresearch/vitamin/reportView.do?vitaminId=2000012
170,경영환경,디지털로 사람을 치료한다 : 디지털 테라퓨틱스,장경석,2019-12-30,2704,/kbresearch/vitamin/reportView.do?vitaminId=2000015
180,해외경제,"불야성 중국, 야간경제 활성화로 소비에 불지핀다 ",이정진,2019-12-23,2242,/kbresearch/vitamin/reportView.do?vitaminId=2000016
181,기타,북한의 모바일 결제어플 울림1.0,손광수,2019-12-23,1959,/kbresearch/vitamin/reportView.do?vitaminId=2000013
182,기타,"1만년이 걸릴 연산을 200초 만에, 다가오는 양자컴퓨터 시대",심경석,2019-12-18,1440,/kbresearch/vitamin/reportView.do?vitaminId=2000014
183,마케팅,뷰티 패션문화를 주도하는 나노인플루언서,오현정,2019-12-16,2512,/kbresearch/vitamin/reportView.do?vitaminId=2000011
184,해외경제,사무라이와 쇼군에 가부키까지! 초저금리 시대 부각되는 일본 채권시장,한보화,2019-12-09,1611,/kbresearch/vitamin/reportView.do?vitaminId=2000009
185,부동산,아파트 재건축 이주세대 분석과 전세시장 영향,김태환,2019-12-09,1482,/kbresearch/vitamin/reportView.do?vitaminId=1003879
186,자산관리,주택화재보험 개념 및 가입 체크리스트,박완수,2019-12-02,1672,/kbresearch/vitamin/reportView.do?vitaminId=2000010
187,부동산,"이제는 주택도 100세 시대, ‘장수명 주택’",정종훈,2019-12-02,2055,/kbresearch/vitamin/reportView.do?vitaminId=1003877
188,산업분석,"덤벨이코노미, 밀레니얼과 함께 성장하는 체력단련장업",이택수,2019-11-27,3479,/kbresearch/vitamin/reportView.do?vitaminId=1003876
189,경영환경,유병자보험과 간편심사,이경식,2019-11-25,2286,/kbresearch/vitamin/reportView.do?vitaminId=1003875
190,부동산,부동산 가치평가 방식과 활용,류석재,2019-11-20,4445,/kbresearch/vitamin/reportView.do?vitaminId=1003874
191,경영환경,제론테크(Gerontech)와 스마트리빙 ,박성수,2019-11-18,3534,/kbresearch/vitamin/reportView.do?vitaminId=1003873
